Year,Month,Revenue,ActiveCustomers,Orders,YearMonth
2018,11,93693.02,188,258,2018-11-01
2018,12,479020.87,768,1142,2018-12-01
2019,1,612966.77,808,1101,2019-01-01
2019,2,445934.48,745,981,2019-02-01
2019,3,577768.72,950,1291,2019-03-01
2019,4,451587.201,827,1099,2019-04-01
2019,5,715116.35,1081,1616,2019-05-01
2019,6,629907.53,973,1356,2019-06-01
2019,7,627987.171,972,1369,2019-07-01
2019,8,672925.65,942,1340,2019-08-01
2019,9,896754.132,1221,1649,2019-09-01
2019,10,1095603.35,1433,2054,2019-10-01
2019,11,1183197.55,1675,2730,2019-11-01
2019,12,428945.11,464,546,2019-12-01
